HIP,Vmag,RAdeg,DEdeg,Plx,distance
32349,-1.44,101.28854105,-16.71314306,379.21,2.6370612589330453
30438,-0.62,95.98787763,-52.69571799,10.43,95.87727708533077
69673,-0.05,213.91811403,19.18726997,88.85,11.254924029262803
71683,-0.01,219.92041034,-60.83514707,742.12,1.3474909718104888
91262,0.03,279.23410832,38.78299311,128.93,7.756146746296439
24608,0.08,79.17206517,45.99902927,77.29,12.938284383490748
24436,0.18,78.63446353,-8.20163919,4.22,236.96682464454977
37279,0.4,114.82724194,5.22750767,285.93,3.497359493582345
7588,0.45,24.42813204,-57.23666007,22.68,44.091710758377424
27989,0.45,88.79287161,7.40703634,7.63,131.06159895150722
68702,0.61,210.95601898,-60.3729784,6.21,161.0305958132045
97649,0.76,297.6945086,8.86738491,194.44,5.142974696564493
60718,0.77,186.64975585,-63.09905586,10.17,98.32841691248771
21421,0.87,68.98000195,16.50976164,50.09,19.964064683569575
65474,0.98,201.2983523,-11.16124491,12.44,80.38585209003216
80763,1.06,247.35194804,-26.43194608,5.4,185.18518518518516
37826,1.16,116.33068263,28.02631031,96.74,10.336985734959686
113368,1.17,344.41177323,-29.62183701,130.08,7.687576875768757
62434,1.25,191.93049537,-59.68873246,9.25,108.10810810810811
102098,1.25,310.3579727,45.28033423,1.01,990.09900990099
71681,1.35,219.91412833,-60.83947139,742.12,1.3474909718104888
49669,1.36,152.09358075,11.96719513,42.09,23.75861249703017
33579,1.5,104.65644451,-28.97208931,7.57,132.1003963011889
36850,1.58,113.65001898,31.88863645,63.27,15.805278963173699
61084,1.59,187.79137202,-57.11256922,37.09,26.96144513345915
85927,1.62,263.40219373,-37.10374835,4.64,215.51724137931035
25336,1.64,81.28278416,6.34973451,13.42,74.51564828614009
25428,1.65,81.57290804,28.60787346,24.89,40.17677782241864
45238,1.67,138.30100329,-69.71747245,29.34,34.08316291751875
26311,1.69,84.05338572,-1.20191725,2.43,411.52263374485597
109268,1.73,332.05781838,-46.96061593,32.16,31.09452736318408
26727,1.74,85.18968672,-1.94257841,3.99,250.62656641604008
39953,1.75,122.38314727,-47.33661177,3.88,257.7319587628866
62956,1.76,193.5068041,55.95984301,40.3,24.81389578163772
15863,1.79,51.08061889,49.86124281,5.51,181.48820326678768
90185,1.79,276.04310967,-34.3843146,22.55,44.34589800443459
54061,1.81,165.93265365,61.75111888,26.38,37.90750568612585
34444,1.83,107.09785853,-26.39320776,1.82,549.4505494505495
67301,1.85,206.8856088,49.31330288,32.39,30.873726458783576
41037,1.86,125.62860299,-59.50953829,5.16,193.7984496124031
86228,1.86,264.32969072,-42.99782155,11.99,83.40283569641367
28360,1.9,89.88237261,44.94743492,39.72,25.17623363544814
82273,1.91,252.16610742,-69.02763503,7.85,127.38853503184714
42913,1.93,131.17582214,-54.70856797,40.9,24.449877750611247
31681,1.93,99.42792641,16.39941482,31.12,32.13367609254499
100751,1.94,306.41187347,-56.73488071,17.8,56.17977528089887
11767,1.97,37.94614689,89.26413805,7.56,132.27513227513228
30324,1.98,95.6749475,-17.95591658,6.53,153.1393568147014
46390,1.99,141.8968826,-8.65868335,18.4,54.34782608695652
50583,2.01,154.99234054,19.84186032,25.96,38.52080123266564
9884,2.01,31.79285757,23.46277743,49.48,20.21018593371059
3419,2.04,10.89678452,-17.9866841,34.04,29.37720329024677
92855,2.05,283.81631956,-26.29659428,14.54,68.7757909215956
68933,2.06,211.67218608,-36.36869575,53.52,18.684603886397607
27366,2.07,86.93911641,-9.66960186,4.52,221.23893805309737
112122,2.07,340.66639531,-46.88456594,19.17,52.16484089723526
72607,2.07,222.67664751,74.15547596,25.79,38.774718883288095
677,2.07,2.09653333,29.09082805,33.6,29.76190476190476
5447,2.07,17.43248991,35.62083048,16.36,61.12469437652812
86032,2.08,263.73335321,12.56057584,69.84,14.318442153493699
14576,2.09,47.04220716,40.9556512,35.14,28.457598178713717
9640,2.1,30.97466283,42.32984832,9.19,108.8139281828074
57632,2.14,177.26615977,14.57233687,90.16,11.09139307897072
