TYPE,KEYWORD,VALUE,COMMENT,DATATYPE,STATE
section,COMMENT,----- FITS Required ----------------------------------------------------,,str,static
keyword,SIMPLE,TRUE,conforms to FITS Standard,str,static
keyword,BITPIX,16,number of bits per pixel,int,static
keyword,NAXIS,2,number of axes,int,static
keyword,NAXIS1,2048,length of the first axis,int,static
keyword,NAXIS2,2048,length of the second axis,int,static
keyword,LONGSTRN,OGIP 1.0,the OGIP long string convention may be used,str,static
section,COMMENT,"----- Documentation, Contact, and Collection Metadata ------------------",,str,static
keyword,DOI,https://doi.org/TBD,data reference DOI,str,static
keyword,PROJECT,PUNCH,,str,static
keyword,TITLE,PUNCH Level-0 WFI-1 Clear Image,,str,static
keyword,KEYVOCAB,Unified Astronomy Thesaurus Keywords,,str,static
keyword,KEYWORDS,"Solar Corona (1483), Solar K Corona (2042), Solar F Corona (1991), Solar Coronal Streamers (1486), Solar Coronal Plumes (2039), Solar Wind (1534), Fast Solar Wind (1872), Slow Solar Wind (1873), Solar Coronal Mass Ejection (310), Heliosphere (711), Polarimetry (1278)",,str,static
keyword,LICENSE,Creative Commons Attribution 4.0 International | CC BY 4.0,,str,static
comment,COMMENT,"PUNCH Level-0 data, Calibrated instrumental units in camera coordinates",,str,static
comment,COMMENT, Documentation is available on the PUNCH website:,,str,static
comment,COMMENT, https://punch.spaceops.swri.org and via the DOI referenced above (TBD),,str,static
comment,COMMENT,----- File Type and Provenance -----------------------------------------,,str,static
keyword,FILENAME,,name of file,str,dynamic
keyword,LEVEL,0,product Level,int,static
keyword,OBSTYPE,,plain text observation,str,dynamic
keyword,TYPECODE,,observation product type code,str,dynamic
keyword,PIPEVRSN,,PUNCHPipe software version number,str,dynamic
keyword,FILE_RAW,,raw telemetry filename,str,dynamic
keyword,ORIGIN,SwRI,institution responsible for creating the file,str,static
section,COMMENT,----- Temporal Information ---------------------------------------------,,str,static
keyword,TIMESYS,UTC,principal time system,str,static
keyword,DATE-BEG,,UTC time observation,str,dynamic
keyword,DATE-OBS,,UTC reference time at observatory,str,dynamic
keyword,DATE-END,,UTC time of observation end at observatory,str,dynamic
keyword,DATE,,UTC file generation date and time,str,dynamic
section,COMMENT,----- Instrument and Spacecraft State ----------------------------------,,str,static
keyword,WAVELNTH,530,[nm] average peak response,int,static
keyword,WAVEUNIT,nanometer,unit of observation measurement,str,static
keyword,FILTER,,name of filter for observations,str,dynamic
keyword,OBS-MODE,,"image Mode (Unpolarized, Polar_M, _Z, or _P)",str,dynamic
keyword,POLAR,,[deg] polarizer angle or fill value for clear,int,dynamic
keyword,INSTRUME,,instrument name,str,dynamic
keyword,TELESCOP,,satellite name,str,dynamic
keyword,OBJECT,Heliosphere white light,object observed,str,static
section,COMMENT,----- World Coordinate System ------------------------------------------,,str,static
keyword,WCSAXES,2,WCS number of axes,int,static
keyword,CTYPE1,RA---TAN-SIP,TAN (gnomic) projection + SIP distortions,str,static
keyword,CTYPE2,DEC--TAN-SIP,TAN (gnomic) projection + SIP distortions,str,static
keyword,EQUINOX,2000,equatorial coordinates definition (yr),float,static
